L1,L2,L3,Link
Electronics,Mobiles,Mi,"https://www.flipkart.com/mobiles/mi~brand/pr?sid=tyy,4io&otracker=nmenu_sub_Electronics_0_Mi"
Electronics,Mobiles,Realme,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DRealme&otracker=nmenu_sub_Electronics_0_Realme
Electronics,Mobiles,Samsung,https://www.flipkart.com/samsung-mobile-store?otracker=nmenu_sub_Electronics_0_Samsung
Electronics,Mobiles,Infinix,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&otracker=categorytree&p%5B%5D=facets.brand%255B%255D%3DInfinix&otracker=nmenu_sub_Electronics_0_Infinix
Electronics,Mobiles,OPPO,https://www.flipkart.com/oppo-mobile-phones-store?otracker=nmenu_sub_Electronics_0_OPPO
Electronics,Mobiles,Apple,https://www.flipkart.com/apple-products-store?otracker=nmenu_sub_Electronics_0_Apple
Electronics,Mobiles,Vivo,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.serviceability%5B%5D%3Dfalse&p%5B%5D=facets.brand%255B%255D%3DVivo&otracker=nmenu_sub_Electronics_0_Vivo
Electronics,Mobiles,Honor,https://www.flipkart.com/search?p[]=facets.brand%255B%255D%3DHonor&sid=tyy%2F4io&otracker=CLP_filters&otracker=nmenu_sub_Electronics_0_Honor
Electronics,Mobiles,Asus,https://www.flipkart.com/mobiles/pr?sid=tyy%2C4io&p%5B%5D=facets.brand%255B%255D%3DAsus&otracker=nmenu_sub_Electronics_0_Asus
Electronics,Mobiles,Poco X2,https://www.flipkart.com/mobiles/~cs-1c8v939u5p/pr?sid=tyy%2C4io&collection-tab-name=POCO%20X2&otracker=nmenu_sub_Electronics_0_Poco%20X2
Electronics,Mobiles,realme Narzo 10,"https://www.flipkart.com/tyy/4io/~cs-bbqm8szk02/pr?sid=tyy,4io&collection-tab-name=Realme+Narzo+10&otracker=nmenu_sub_Electronics_0_realme%20Narzo%2010"
Electronics,Mobiles,Infinix Hot 9,"https://www.flipkart.com/tyy/4io/~cs-y0g7ho0c3m/pr?sid=tyy,4io&collection-tab-name=Infinix+Hot+9&otracker=nmenu_sub_Electronics_0_Infinix%20Hot%209"
Electronics,Mobiles,IQOO 3,"https://www.flipkart.com/tyy/4io/~cs-kypqvabi8g/pr?sid=tyy,4io&collection-tab-name=IQOO&otracker=nmenu_sub_Electronics_0_IQOO%203"
Electronics,Mobiles,iPhone SE,https://www.flipkart.com/mobiles/~cs-fdeu9sdw9c/pr?sid=tyy%2C4io&collection-tab-name=Iphone%20SE%202020&otracker=nmenu_sub_Electronics_0_iPhone%20SE
Electronics,Mobiles,Motorola razr,https://www.flipkart.com/mobiles/~cs-35ecwn2f18/pr?sid=tyy%2C4io&otracker=nmenu_sub_Electronics_0_Motorola%20razr
Electronics,Mobiles,realme Narzo 10A,"https://www.flipkart.com/tyy/4io/~cs-crohk4na9x/pr?sid=tyy,4io&collection-tab-name=Realme+Narzo+10A&otracker=nmenu_sub_Electronics_0_realme%20Narzo%2010A"
Electronics,Mobiles,Motorola g8 power lite,"https://www.flipkart.com/tyy/4io/~cs-w3eqqvrrdq/pr?sid=tyy,4io&collection-tab-name=Motorola+G8+Power+Lite&otracker=nmenu_sub_Electronics_0_Motorola%20g8%20power%20lite"
Electronics,Mobile Accessories,Mobile Cases,"https://www.flipkart.com/mobile-accessories/cases-and-covers/pr?sid=tyy,4mr,q2u&otracker=nmenu_sub_Electronics_0_Mobile%20Cases"
Electronics,Mobile Accessories,Headphones & Headsets,https://www.flipkart.com/headphones-store?otracker=nmenu_sub_Electronics_0_Headphones%20%26%20Headsets
Electronics,Mobile Accessories,Power Banks,"https://www.flipkart.com/mobile-accessories/power-banks/pr?sid=tyy,4mr,fu6&otracker=categorytree&otracker=nmenu_sub_Electronics_0_Power%20Banks"
Electronics,Mobile Accessories,Screenguards,"https://www.flipkart.com/mobile-accessories/screen-guards/pr?sid=tyy,4mr,lrv&otracker=nmenu_sub_Electronics_0_Screenguards"
Electronics,Mobile Accessories,Memory Cards,"https://www.flipkart.com/mobile-accessories/memory-cards-readers/memory-cards/pr?sid=tyy,4mr,zzf,7y7&otracker=nmenu_sub_Electronics_0_Memory%20Cards"
Electronics,Mobile Accessories,Smart Headphones,"https://www.flipkart.com/wearable-smart-devices/smart-headphones/pr?sid=ajy,vam&otracker=nmenu_sub_Electronics_0_Smart%20Headphones"
Electronics,Mobile Accessories,Mobile Cables,"https://www.flipkart.com/mobile-accessories/cables/pr?sid=tyy,4mr,3nu&otracker=nmenu_sub_Electronics_0_Mobile%20Cables"
Electronics,Mobile Accessories,Mobile Chargers,"https://www.flipkart.com/mobile-accessories/chargers/pr?sid=tyy,4mr,tp2&otracker=nmenu_sub_Electronics_0_Mobile%20Chargers"
Electronics,Mobile Accessories,Mobile Holders,"https://www.flipkart.com/mobile-accessories/mobile-holders/pr?sid=tyy,4mr,vnf&marketplace=FLIPKART&otracker=nmenu_sub_Electronics_0_Mobile%20Holders"
Electronics,Smart Wearable Tech,Smart Watches,https://www.flipkart.com/smartwatches-store?otracker=nmenu_sub_Electronics_0_Smart%20Watches
Electronics,Smart Wearable Tech,Smart Glasses (VR),https://www.flipkart.com/wearable-smart-devices/smart-glasses/pr?sid=ajy%2Ctcy&otracker=nmenu_sub_Electronics_0_Smart%20Glasses%20(VR)
Electronics,Smart Wearable Tech,Smart Bands,https://www.flipkart.com/wearable-smart-devices/smart-bands/pr?sid=ajy%2Cq7p&otracker=nmenu_sub_Electronics_0_Smart%20Bands
Electronics,Health Care Appliances,Bp Monitors,"https://www.flipkart.com/health-personal-care-appliances/health-care/health-care-devices/blood-pressure-monitors/pr?sid=zlw,nyl,bvv,kbk&otracker=nmenu_sub_Electronics_0_Bp%20Monitors"
Electronics,Health Care Appliances,Weighing Scale,"https://www.flipkart.com/beauty-and-personal-care/health-care/health-care-devices/weighing-scales/pr?sid=t06,nyl,bvv,o4o&otracker=nmenu_sub_Electronics_0_Weighing%20Scale"
Electronics,Laptops,Gaming Laptops,https://www.flipkart.com/gaming-laptops-store?otracker=nmenu_sub_Electronics_0_Gaming%20Laptops&otracker=nmenu_sub_Electronics_0_Gaming%20Laptops
Electronics,Computer Accessories,External Hard Disks,https://www.flipkart.com/external-hard-disk-store?otracker=nmenu_sub_Electronics_0_External%20Hard%20Disks
Electronics,Computer Accessories,Pendrives,"https://www.flipkart.com/computers/storage/pen-drives/pr?sid=6bo,jdy,uar&otracker=nmenu_sub_Electronics_0_Pendrives"
Electronics,Computer Accessories,Laptop Skins & Decals,"https://www.flipkart.com/laptop-accessories/laptop-skins-decals/pr?sid=6bo,ai3,zvm&otracker=nmenu_sub_Electronics_0_Laptop%20Skins%20%26%20Decals"
Electronics,Computer Accessories,Laptop Bags,https://www.flipkart.com/laptop-accessories/laptop-bags/pr?sid=6bo%2Cai3%2Cqq9&otracker=nmenu_sub_Electronics_0_Laptop%20Bags
Electronics,Computer Accessories,Mouse,"https://www.flipkart.com/laptop-accessories/mouse/pr?sid=6bo,ai3,2ay&otracker=nmenu_sub_Electronics_0_Mouse"
Electronics,Computer Peripherals,Printers & Ink Cartridges,https://www.flipkart.com/printer-inks-store?otracker=nmenu_sub_Electronics_0_Printers%20%26%20Ink%20Cartridges
Electronics,Computer Peripherals,Monitors,https://www.flipkart.com/monitors-store?otracker=nmenu_sub_Electronics_0_Monitors
Electronics,Tablets,Apple iPads,"https://www.flipkart.com/tablets/~apple-ipads/pr?sid=tyy,hry&otracker=nmenu_sub_Electronics_0_Apple%20iPads"
Electronics,Tablets,Televisions,https://www.flipkart.com/television-store?otracker=nmenu_sub_Electronics_0_Televisions
